¬˜∑Æπ¯»£,Ω¬¬˜Ω√∞£,Ω¬¬˜X¡¬«•,Ω¬¬˜Y¡¬«•,ø‰¿œ,≥Øææ
zixghz,2023-04-01 00:01:25,127.37845171,36.29808682,Saturday,∏º¿Ω
zixghz,2023-04-01 00:05:13,127.3846395,36.29705148,Saturday,∏º¿Ω
zixghz,2023-04-01 00:17:24,127.36900712,36.32984993,Saturday,∏º¿Ω
zixghz,2023-04-01 00:25:00,127.37726999,36.35174266,Saturday,∏º¿Ω
zixghz,2023-04-01 00:42:32,127.3953353,36.37661049,Saturday,∏º¿Ω
zixghz,2023-04-01 01:07:11,127.33673294,36.3552552,Saturday,∏º¿Ω
zixghz,2023-04-01 01:45:58,127.34331115,36.29369843,Saturday,∏º¿Ω
zixghz,2023-04-01 02:00:43,127.37722493,36.35175897,Saturday,∏º¿Ω
zixghz,2023-04-01 02:13:57,127.38923615,36.34984243,Saturday,∏º¿Ω
zixghz,2023-04-01 02:22:29,127.38887171,36.34186831,Saturday,∏º¿Ω
zixghz,2023-04-01 02:40:31,127.37758825,36.34987148,Saturday,∏º¿Ω
zixghz,2023-04-01 02:48:27,127.37357359,36.31916182,Saturday,∏º¿Ω
zixghz,2023-04-01 02:59:01,127.3751675,36.32889086,Saturday,∏º¿Ω
zixghz,2023-04-01 03:10:35,127.38854132,36.34101984,Saturday,∏º¿Ω
zixghz,2023-04-01 03:18:21,127.38047425,36.34406281,Saturday,∏º¿Ω
zixghz,2023-04-01 03:32:40,127.42466018,36.32561515,Saturday,∏º¿Ω
zixghz,2023-04-01 03:43:21,127.44268062,36.34396598,Saturday,∏º¿Ω
zixghz,2023-04-01 03:52:25,127.44575427,36.33396521,Saturday,∏º¿Ω
zixghz,2023-04-01 04:09:04,127.42677143,36.3271203,Saturday,∏º¿Ω
zixghz,2023-04-01 04:19:52,127.4283751,36.36099056,Saturday,∏º¿Ω
zixghz,2023-04-01 04:47:38,127.3775444,36.34980031,Saturday,∏º¿Ω
zixghz,2023-04-01 05:01:29,127.39461876,36.33714975,Saturday,∏º¿Ω
zixghz,2023-04-01 05:10:41,127.37885867,36.35187952,Saturday,∏º¿Ω
zixghz,2023-04-01 17:51:15,127.41044933,36.44433209,Saturday,æ‡∞£¿« ±∏∏ß¿Ã ≥§ «œ¥√
zixghz,2023-04-01 18:02:26,127.40036318,36.42692603,Saturday,∏º¿Ω
zixghz,2023-04-01 18:36:53,127.43285461,36.33190369,Saturday,∏º¿Ω
zixghz,2023-04-01 19:06:22,127.37770252,36.35005692,Saturday,∏º¿Ω
zixghz,2023-04-01 19:19:05,127.40403476,36.32252063,Saturday,∏º¿Ω
zixghz,2023-04-01 19:56:35,127.35604051,36.39567725,Saturday,∏º¿Ω
zixghz,2023-04-01 20:13:55,127.33722175,36.36586929,Saturday,∏º¿Ω
zixghz,2023-04-01 20:36:48,127.38753503,36.36495969,Saturday,∏º¿Ω
zixghz,2023-04-01 20:56:53,127.38197877,36.35207998,Saturday,∏º¿Ω
zixghz,2023-04-01 21:03:55,127.37534171,36.34008388,Saturday,∏º¿Ω
zixghz,2023-04-01 21:10:35,127.38801081,36.34670944,Saturday,∏º¿Ω
zixghz,2023-04-01 23:16:01,127.42498126,36.44061757,Saturday,∏º¿Ω
zixghz,2023-04-01 23:25:59,127.42667434,36.45066042,Saturday,∏º¿Ω
zixghz,2023-04-01 23:45:57,127.39620721,36.37570004,Saturday,∏º¿Ω
zixghz,2023-04-02 00:35:01,127.39221745,36.42593578,Sunday,∏º¿Ω
zixghz,2023-04-02 00:54:31,127.42583582,36.37918136,Sunday,∏º¿Ω
zixghz,2023-04-02 01:14:45,127.43295239,36.32854594,Sunday,∏º¿Ω
zixghz,2023-04-02 01:20:32,127.42675686,36.32714636,Sunday,∏º¿Ω
zixghz,2023-04-02 01:44:27,127.42905199,36.45005928,Sunday,∏º¿Ω
zixghz,2023-04-02 02:02:14,127.42910436,36.44952007,Sunday,∏º¿Ω
zixghz,2023-04-02 02:28:57,127.377622,36.36116761,Sunday,∏º¿Ω
zixghz,2023-04-02 02:37:38,127.38881201,36.33847017,Sunday,∏º¿Ω
zixghz,2023-04-02 02:49:36,127.37667543,36.35195782,Sunday,∏º¿Ω
zixghz,2023-04-02 03:01:53,127.35085085,36.30583816,Sunday,∏º¿Ω
zixghz,2023-04-02 03:22:34,127.3777833,36.35018801,Sunday,∏º¿Ω
zixghz,2023-04-02 03:39:39,127.3776366,36.34994994,Sunday,∏º¿Ω
zixghz,2023-04-02 03:54:27,127.43654844,36.3523568,Sunday,∏º¿Ω
zixghz,2023-04-02 04:23:46,127.42241367,36.34852951,Sunday,∏º¿Ω
zixghz,2023-04-02 04:28:55,127.43037644,36.34614789,Sunday,∏º¿Ω
zixghz,2023-04-02 05:17:46,127.37893485,36.35199328,Sunday,∏º¿Ω
zixghz,2023-04-02 17:49:51,127.38217571,36.43214095,Sunday,∏º¿Ω
zixghz,2023-04-02 18:14:46,127.391615,36.33968036,Sunday,∏º¿Ω
zixghz,2023-04-02 18:20:49,127.38191145,36.33583856,Sunday,∏º¿Ω
zixghz,2023-04-02 18:35:15,127.36835278,36.34752845,Sunday,∏º¿Ω
zixghz,2023-04-02 18:50:49,127.34856583,36.35446672,Sunday,∏º¿Ω
zixghz,2023-04-02 19:37:46,127.33472083,36.29484952,Sunday,∏º¿Ω
zixghz,2023-04-02 20:22:33,127.40401992,36.32255736,Sunday,∏º¿Ω
zixghz,2023-04-02 20:31:54,127.3875849,36.31995837,Sunday,∏º¿Ω
zixghz,2023-04-02 20:55:53,127.34335545,36.31948082,Sunday,∏º¿Ω
zixghz,2023-04-02 21:07:55,127.34052031,36.2935984,Sunday,∏º¿Ω
zixghz,2023-04-02 21:21:39,127.38463767,36.31118375,Sunday,∏º¿Ω
zixghz,2023-04-02 21:29:12,127.39740482,36.30801137,Sunday,∏º¿Ω
zixghz,2023-04-02 21:57:55,127.3902696,36.36142534,Sunday,∏º¿Ω
zixghz,2023-04-02 22:10:27,127.38932483,36.34900837,Sunday,∏º¿Ω
zixghz,2023-04-02 22:19:28,127.36947673,36.34563669,Sunday,∏º¿Ω
zixghz,2023-04-02 22:31:49,127.36367396,36.35846246,Sunday,∏º¿Ω
zixghz,2023-04-02 22:42:01,127.3506186,36.3627981,Sunday,∏º¿Ω
zixghz,2023-04-02 22:52:30,127.37664007,36.35964921,Sunday,∏º¿Ω
zixghz,2023-04-02 23:00:07,127.39970839,36.34897671,Sunday,∏º¿Ω
zixghz,2023-04-02 23:16:55,127.33169403,36.35273533,Sunday,∏º¿Ω
zixghz,2023-04-02 23:21:17,127.33904004,36.35446169,Sunday,∏º¿Ω
zixghz,2023-04-02 23:33:41,127.34343189,36.35870034,Sunday,∏º¿Ω
zixghz,2023-04-02 23:48:16,127.38805664,36.3406692,Sunday,∏º¿Ω
zixghz,2023-04-03 00:08:27,127.32673533,36.29731656,Monday,∏º¿Ω
zixghz,2023-04-03 00:35:50,127.43279348,36.33190314,Monday,∏º¿Ω
zixghz,2023-04-03 01:09:50,127.37351489,36.34929606,Monday,∏º¿Ω
zixghz,2023-04-03 01:23:58,127.40252797,36.33120422,Monday,∏º¿Ω
zixghz,2023-04-03 01:35:47,127.3778724,36.35033261,Monday,∏º¿Ω
zixghz,2023-04-03 01:53:22,127.31779119,36.37445413,Monday,∏º¿Ω
zixghz,2023-04-03 02:02:07,127.36205545,36.35633745,Monday,∏º¿Ω
zixghz,2023-04-03 02:22:58,127.35015288,36.3625206,Monday,∏º¿Ω
zixghz,2023-04-03 02:31:37,127.34344015,36.3587231,Monday,∏º¿Ω
zixghz,2023-04-03 03:05:24,127.24217968,36.49963313,Monday,∏º¿Ω
zixghz,2023-04-03 03:59:14,127.38297848,36.35498426,Monday,∏º¿Ω
zixghz,2023-04-03 04:09:47,127.37752114,36.34976132,Monday,∏º¿Ω
zixghz,2023-04-04 00:11:56,127.43284672,36.33190369,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 00:31:04,127.38052986,36.33461411,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 00:39:17,127.37359899,36.32242381,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 00:45:32,127.37398112,36.3224118,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 01:22:54,127.35222794,36.30617461,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 01:40:21,127.39021407,36.34884513,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 01:51:43,127.39112274,36.34191331,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 02:07:52,127.37656729,36.35006819,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 02:11:18,127.37757123,36.34984384,Tuesday,ø¬»Â∏≤
zixghz,2023-04-04 02:28:10,127.40810286,36.32245355,Tuesday,ø¬»Â∏≤
