역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
1101,판암,114992,103857,106104,95195,120014,109800,122536,110947,125939,113504,115747,105051,118327,107255,119463,109486,,,,,,,,
1102,신흥,45098,41037,41407,37442,45729,42564,46157,42373,47178,43715,43502,40323,45722,42186,48879,45124,,,,,,,,
1103,대동,110149,97332,98032,86716,128973,112104,128169,111865,130916,114349,117079,102006,115435,101115,117607,104889,,,,,,,,
1104,대전,327420,308616,310491,296785,342050,323140,335559,320996,360612,346656,341432,324188,346564,329594,383411,359820,,,,,,,,
1105,중앙로,170912,187244,165652,182331,172816,188401,164598,180163,191009,204301,173389,189039,194708,211538,266771,283399,,,,,,,,
1106,중구청,59455,63503,53101,56557,64005,66952,66127,69651,68166,71960,62832,65734,65331,67716,70500,74714,,,,,,,,
1107,서대전네거리,161491,167977,147962,154298,167686,174824,168123,175698,171508,179441,153742,161976,157703,165646,162517,176145,,,,,,,,
1108,오룡,114526,103458,104010,94196,117603,105591,117886,105271,119695,106969,110875,99261,115220,102270,114923,101994,,,,,,,,
1109,용문,185461,189887,166297,169379,192309,196831,189482,193947,200124,205718,188856,192496,196687,199751,186305,190920,,,,,,,,
1110,탄방,127987,138814,114395,123401,127172,138691,126666,138194,128939,141451,121675,132471,129183,140071,125060,134184,,,,,,,,
1111,시청,233114,239946,207447,214217,215847,226228,212905,223439,217657,228388,204618,213265,223942,232920,218857,224174,,,,,,,,
1112,정부청사,192770,206688,173481,184873,190457,203976,192889,205108,199715,213408,179949,194695,192104,207158,182806,195155,,,,,,,,
1113,갈마,85352,85507,78887,79279,87503,87259,87422,86398,90480,89546,84867,84289,86517,86338,84512,84780,,,,,,,,
1114,월평,100937,100648,92162,91661,105402,106204,103937,104849,107072,106854,97483,97642,99813,99336,96776,97672,,,,,,,,
1115,갑천,28242,27848,25419,24829,28809,28577,29818,30362,29493,28654,27383,27151,25882,24943,26793,25999,,,,,,,,
1116,유성온천,273306,289075,252065,264302,288278,300519,279056,290711,296653,309462,264229,276971,269796,284272,259707,274128,,,,,,,,
1117,구암,81995,82088,75600,76355,87400,87426,88135,88065,92296,92212,84699,84117,84039,83585,82558,82119,,,,,,,,
1118,현충원,53660,42901,50794,41362,71327,59698,75329,62972,78837,65627,66264,54782,56982,45945,56735,45802,,,,,,,,
1119,월드컵경기장,76417,67793,68610,60257,79709,71877,84230,76189,82323,74069,78974,70941,80181,71439,73285,64654,,,,,,,,
1120,노은,119508,125728,109680,115027,120023,125351,116427,122499,123790,129829,114306,120281,120423,126769,112768,119023,,,,,,,,
1121,지족,61519,58661,54795,52345,62855,60567,63581,60994,64931,62318,60240,58466,65618,64531,59792,58328,,,,,,,,
1122,반석,216097,199948,195728,180187,220989,207942,221540,208214,226516,213458,209893,196691,218004,202985,205816,191789,,,,,,,,
